dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
own_v1,O2,h00013,bundle_exact_pointer_passes,False,inttoptr,1,1,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,load,22,22,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,mul,3,3,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,or,1,1,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,ptrtoint,1,1,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,ret,2,2,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,select,4,4,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,shl,5,5,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,store,31,31,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,switch,1,1,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,urem,3,3,0
own_v1,O2,h00013,bundle_exact_pointer_passes,False,xor,5,5,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,add,6,6,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,alloca,4,4,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,and,5,5,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,br,14,14,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,call,3,3,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,freeze,3,3,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,getelementptr,18,17,-1
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,icmp,4,4,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,inttoptr,1,1,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,load,22,22,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,mul,3,3,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,or,1,1,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,ptrtoint,1,1,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,ret,2,2,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,select,4,4,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,shl,5,5,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,store,31,31,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,switch,1,1,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,urem,3,3,0
own_v1,O2,h00013,llvm_default_opt_boundary_3,True,xor,5,5,0
own_v1,O2,h00013,custom_storage_delift,False,add,6,6,0
own_v1,O2,h00013,custom_storage_delift,False,alloca,4,4,0
own_v1,O2,h00013,custom_storage_delift,False,and,5,5,0
own_v1,O2,h00013,custom_storage_delift,False,br,14,14,0
own_v1,O2,h00013,custom_storage_delift,False,call,3,3,0
own_v1,O2,h00013,custom_storage_delift,False,freeze,3,3,0
own_v1,O2,h00013,custom_storage_delift,False,getelementptr,17,17,0
own_v1,O2,h00013,custom_storage_delift,False,icmp,4,4,0
own_v1,O2,h00013,custom_storage_delift,False,inttoptr,1,1,0
own_v1,O2,h00013,custom_storage_delift,False,load,22,22,0
own_v1,O2,h00013,custom_storage_delift,False,mul,3,3,0
own_v1,O2,h00013,custom_storage_delift,False,or,1,1,0
own_v1,O2,h00013,custom_storage_delift,False,ptrtoint,1,1,0
own_v1,O2,h00013,custom_storage_delift,False,ret,2,2,0
own_v1,O2,h00013,custom_storage_delift,False,select,4,4,0
own_v1,O2,h00013,custom_storage_delift,False,shl,5,5,0
own_v1,O2,h00013,custom_storage_delift,False,store,31,31,0
own_v1,O2,h00013,custom_storage_delift,False,switch,1,1,0
own_v1,O2,h00013,custom_storage_delift,False,urem,3,3,0
own_v1,O2,h00013,custom_storage_delift,False,xor,5,5,0
own_v1,O2,h00013,custom_residual_strip,False,add,6,6,0
own_v1,O2,h00013,custom_residual_strip,False,alloca,4,4,0
own_v1,O2,h00013,custom_residual_strip,False,and,5,5,0
own_v1,O2,h00013,custom_residual_strip,False,br,14,14,0
own_v1,O2,h00013,custom_residual_strip,False,call,3,3,0
own_v1,O2,h00013,custom_residual_strip,False,freeze,3,3,0
own_v1,O2,h00013,custom_residual_strip,False,getelementptr,17,17,0
own_v1,O2,h00013,custom_residual_strip,False,icmp,4,4,0
own_v1,O2,h00013,custom_residual_strip,False,inttoptr,1,1,0
own_v1,O2,h00013,custom_residual_strip,False,load,22,22,0
own_v1,O2,h00013,custom_residual_strip,False,mul,3,3,0
own_v1,O2,h00013,custom_residual_strip,False,or,1,1,0
own_v1,O2,h00013,custom_residual_strip,False,ptrtoint,1,1,0
own_v1,O2,h00013,custom_residual_strip,False,ret,2,2,0
own_v1,O2,h00013,custom_residual_strip,False,select,4,4,0
own_v1,O2,h00013,custom_residual_strip,False,shl,5,5,0
own_v1,O2,h00013,custom_residual_strip,False,store,31,31,0
own_v1,O2,h00013,custom_residual_strip,False,switch,1,1,0
own_v1,O2,h00013,custom_residual_strip,False,urem,3,3,0
own_v1,O2,h00013,custom_residual_strip,False,xor,5,5,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,add,6,6,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,alloca,4,4,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,and,5,5,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,br,14,14,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,call,3,3,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,freeze,3,3,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,17,17,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,icmp,4,4,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,1,1,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,load,22,22,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,mul,3,3,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,or,1,1,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,1,1,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,ret,2,1,-1
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,select,4,4,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,shl,5,5,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,store,31,31,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,switch,1,1,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,urem,3,3,0
own_v1,O2,h00013,final_tail_opt_4_plus_custom_cleanup,False,xor,5,5,0
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,add,72,82,10
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,alloca,0,4,4
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,and,187,35,-152
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,ashr,43,3,-40
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,bitcast,2,0,-2
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,br,114,39,-75
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,call,49,9,-40
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,getelementptr,8,10,2
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,icmp,126,26,-100
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,inttoptr,71,61,-10
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,load,107,131,24
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,lshr,42,11,-31
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,mul,43,3,-40
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,or,8,12,4
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,phi,2,51,49
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,1,1
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,ret,27,3,-24
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,sdiv,4,0,-4
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,select,14,13,-1
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,sext,5,2,-3
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,shl,49,12,-37
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,srem,4,4,0
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,store,298,684,386
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,sub,111,0,-111
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,switch,0,4,4
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,trunc,207,19,-188
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,unreachable,7,0,-7
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,xor,79,24,-55
own_v1,O2,h00014,main_combined_custom_plus_opt_1_2,False,zext,183,45,-138
own_v1,O2,h00014,bundle_exact_pointer_passes,False,add,82,82,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,alloca,4,4,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,and,35,35,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,ashr,3,3,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,br,39,39,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,call,9,9,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,getelementptr,10,10,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,icmp,26,26,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,inttoptr,61,61,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,load,131,131,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,lshr,11,11,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,mul,3,3,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,or,12,12,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,phi,51,51,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,ptrtoint,1,1,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,ret,3,3,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,select,13,13,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,sext,2,2,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,shl,12,12,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,srem,4,4,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,store,684,684,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,switch,4,4,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,trunc,19,19,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,xor,24,24,0
own_v1,O2,h00014,bundle_exact_pointer_passes,False,zext,45,37,-8
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,add,82,81,-1
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,alloca,4,4,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,and,35,27,-8
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,ashr,3,3,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,br,39,39,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,call,9,9,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,getelementptr,10,10,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,icmp,26,26,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,inttoptr,61,61,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,load,131,101,-30
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,lshr,11,11,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,mul,3,3,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,or,12,4,-8
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,phi,51,49,-2
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,ptrtoint,1,1,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,ret,3,3,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,select,13,13,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,sext,2,2,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,shl,12,12,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,srem,4,4,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,store,684,547,-137
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,switch,4,4,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,trunc,19,19,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,xor,24,24,0
own_v1,O2,h00014,llvm_default_opt_boundary_3,True,zext,37,36,-1
own_v1,O2,h00014,custom_storage_delift,False,add,81,81,0
own_v1,O2,h00014,custom_storage_delift,False,alloca,4,4,0
own_v1,O2,h00014,custom_storage_delift,False,and,27,27,0
own_v1,O2,h00014,custom_storage_delift,False,ashr,3,3,0
own_v1,O2,h00014,custom_storage_delift,False,br,39,39,0
own_v1,O2,h00014,custom_storage_delift,False,call,9,9,0
own_v1,O2,h00014,custom_storage_delift,False,getelementptr,10,10,0
own_v1,O2,h00014,custom_storage_delift,False,icmp,26,26,0
own_v1,O2,h00014,custom_storage_delift,False,inttoptr,61,61,0
own_v1,O2,h00014,custom_storage_delift,False,load,101,101,0
own_v1,O2,h00014,custom_storage_delift,False,lshr,11,11,0
own_v1,O2,h00014,custom_storage_delift,False,mul,3,3,0
own_v1,O2,h00014,custom_storage_delift,False,or,4,4,0
own_v1,O2,h00014,custom_storage_delift,False,phi,49,49,0
own_v1,O2,h00014,custom_storage_delift,False,ptrtoint,1,1,0
own_v1,O2,h00014,custom_storage_delift,False,ret,3,3,0
own_v1,O2,h00014,custom_storage_delift,False,select,13,13,0
own_v1,O2,h00014,custom_storage_delift,False,sext,2,2,0
own_v1,O2,h00014,custom_storage_delift,False,shl,12,12,0
own_v1,O2,h00014,custom_storage_delift,False,srem,4,4,0
own_v1,O2,h00014,custom_storage_delift,False,store,547,547,0
own_v1,O2,h00014,custom_storage_delift,False,switch,4,4,0
own_v1,O2,h00014,custom_storage_delift,False,trunc,19,19,0
own_v1,O2,h00014,custom_storage_delift,False,xor,24,24,0
own_v1,O2,h00014,custom_storage_delift,False,zext,36,36,0
own_v1,O2,h00014,custom_residual_strip,False,add,81,81,0
own_v1,O2,h00014,custom_residual_strip,False,alloca,4,4,0
own_v1,O2,h00014,custom_residual_strip,False,and,27,27,0
own_v1,O2,h00014,custom_residual_strip,False,ashr,3,3,0
own_v1,O2,h00014,custom_residual_strip,False,br,39,39,0
own_v1,O2,h00014,custom_residual_strip,False,call,9,9,0
own_v1,O2,h00014,custom_residual_strip,False,getelementptr,10,10,0
own_v1,O2,h00014,custom_residual_strip,False,icmp,26,26,0
own_v1,O2,h00014,custom_residual_strip,False,inttoptr,61,61,0
own_v1,O2,h00014,custom_residual_strip,False,load,101,101,0
own_v1,O2,h00014,custom_residual_strip,False,lshr,11,11,0
own_v1,O2,h00014,custom_residual_strip,False,mul,3,3,0
own_v1,O2,h00014,custom_residual_strip,False,or,4,4,0
own_v1,O2,h00014,custom_residual_strip,False,phi,49,49,0
own_v1,O2,h00014,custom_residual_strip,False,ptrtoint,1,1,0
own_v1,O2,h00014,custom_residual_strip,False,ret,3,3,0
own_v1,O2,h00014,custom_residual_strip,False,select,13,13,0
own_v1,O2,h00014,custom_residual_strip,False,sext,2,2,0
own_v1,O2,h00014,custom_residual_strip,False,shl,12,12,0
own_v1,O2,h00014,custom_residual_strip,False,srem,4,4,0
own_v1,O2,h00014,custom_residual_strip,False,store,547,547,0
own_v1,O2,h00014,custom_residual_strip,False,switch,4,4,0
own_v1,O2,h00014,custom_residual_strip,False,trunc,19,19,0
own_v1,O2,h00014,custom_residual_strip,False,xor,24,24,0
own_v1,O2,h00014,custom_residual_strip,False,zext,36,36,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,add,81,81,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,alloca,4,4,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,and,27,27,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,ashr,3,3,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,br,39,39,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,call,9,9,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,10,10,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,icmp,26,26,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,61,61,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,load,101,101,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,lshr,11,11,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,mul,3,3,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,or,4,4,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,phi,49,49,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,1,1,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,ret,3,2,-1
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,select,13,13,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,sext,2,2,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,shl,12,12,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,srem,4,4,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,store,547,539,-8
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,switch,4,4,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,trunc,19,19,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,xor,24,24,0
own_v1,O2,h00014,final_tail_opt_4_plus_custom_cleanup,False,zext,36,36,0
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,add,59,16,-43
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,alloca,0,4,4
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,and,105,7,-98
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,ashr,28,0,-28
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,br,80,24,-56
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,call,40,10,-30
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,getelementptr,5,31,26
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,icmp,88,14,-74
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,inttoptr,42,1,-41
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,load,73,24,-49
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,lshr,39,0,-39
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,mul,29,3,-26
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,or,10,2,-8
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,phi,2,4,2
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,3,3
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,ret,26,2,-24
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,sdiv,2,2,0
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,select,9,10,1
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,sext,3,7,4
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,shl,37,12,-25
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,store,204,37,-167
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,sub,69,0,-69
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,switch,0,1,1
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,trunc,126,0,-126
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,unreachable,5,2,-3
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,xor,63,6,-57
own_v1,O2,h00015,main_combined_custom_plus_opt_1_2,False,zext,98,5,-93
own_v1,O2,h00015,bundle_exact_pointer_passes,False,add,16,14,-2
own_v1,O2,h00015,bundle_exact_pointer_passes,False,alloca,4,4,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,and,7,7,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,br,24,24,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,call,10,10,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,getelementptr,31,33,2
own_v1,O2,h00015,bundle_exact_pointer_passes,False,icmp,14,14,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,inttoptr,1,1,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,load,24,24,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,mul,3,3,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,or,2,2,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,phi,4,4,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,ptrtoint,3,3,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,ret,2,2,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,sdiv,2,2,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,select,10,10,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,sext,7,7,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,shl,12,12,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,store,37,37,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,switch,1,1,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,unreachable,2,2,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,xor,6,6,0
own_v1,O2,h00015,bundle_exact_pointer_passes,False,zext,5,5,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,add,14,14,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,alloca,4,4,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,and,7,7,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,br,24,24,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,call,10,11,1
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,getelementptr,33,28,-5
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,icmp,14,14,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,inttoptr,1,1,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,load,24,23,-1
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,mul,3,3,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,or,2,2,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,phi,4,4,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,ptrtoint,3,3,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,ret,2,2,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,sdiv,2,2,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,select,10,10,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,sext,7,6,-1
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,shl,12,11,-1
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,store,37,35,-2
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,switch,1,1,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,unreachable,2,2,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,xor,6,6,0
own_v1,O2,h00015,llvm_default_opt_boundary_3,True,zext,5,5,0
own_v1,O2,h00015,custom_storage_delift,False,add,14,14,0
own_v1,O2,h00015,custom_storage_delift,False,alloca,4,4,0
